FO,GEO,L,Lc,Lext,M,MUL,Rsh_c_n,Rsh_c_p,Rsh_ext_n,Rsh_ext_p,V_dd,V_th,W,a,beta_p_n,eps_cap,eps_semi,k_gate,mD_fac,mu_eff_n,mu_eff_p,rho_c_n,rho_c_p,tox,tsemi,C_load,C_par,C_wire,Edynamic,I_sub,I_tunnel,Ieff,Ioff,Lscale,NM_H,NM_L,Pstatic,R_avg_inv,R_wire,V_IH,V_IL,V_OH,V_OL,V_th_eff,area,config_hash,dVt,delay,delta,eot,n0,noise_margin,ring_oscillator_delay,slope_at_crossing
4.0,2.0,5e-09,2e-08,5e-09,2.0,2.0,50.0,50.0,500.0,500.0,0.1,0.618,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,7.19e-17,1.38e-18,4.43e-18,7.77e-09,8.81e-09,4.02e-13,2.29e-08,4.41e-09,1.91e-09,0.0258,0.0151,4.41e-10,4360000.0,80.0,0.0631,0.0307,0.0888,0.0156,0.341,3.5e-16,519756,0.252,0.339,0.252,1.38e-21,2.02,0.0151,0.0,-1.79
4.0,2.0,5e-09,2e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.618,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,3.6e-17,6.91e-19,4.43e-18,4.11e-09,4.41e-09,4.02e-13,1.15e-08,2.2e-09,1.91e-09,0.0258,0.0151,2.2e-10,8720000.0,80.0,0.0631,0.0307,0.0888,0.0156,0.341,3.5e-16,519742,0.252,0.358,0.252,1.38e-21,2.02,0.0151,0.0,-1.79
4.0,2.0,5e-09,4e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.618,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,3.6e-17,6.91e-19,4.43e-18,4.11e-09,4.38e-09,4.02e-13,1.28e-08,2.19e-09,1.91e-09,0.0275,0.0177,2.19e-10,7830000.0,80.0,0.0638,0.03,0.0912,0.0122,0.341,5.5e-16,519734,0.252,0.322,0.252,1.38e-21,2.02,0.0177,0.0,-1.95
4.0,2.0,5e-09,2e-08,1e-08,2.0,2.0,50.0,50.0,500.0,500.0,0.1,0.618,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,6.92e-17,6.91e-19,4.43e-18,7.43e-09,8.81e-09,4.02e-13,2.29e-08,4.41e-09,1.91e-09,0.0258,0.0151,4.41e-10,4360000.0,80.0,0.0631,0.0307,0.0888,0.0156,0.341,4.5e-16,519663,0.252,0.324,0.252,1.38e-21,2.02,0.0151,0.0,-1.79
4.0,2.0,5e-09,2e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.618,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,3.46e-17,3.45e-19,4.43e-18,3.94e-09,4.41e-09,4.02e-13,1.15e-08,2.2e-09,1.91e-09,0.0258,0.0151,2.2e-10,8720000.0,80.0,0.0631,0.0307,0.0888,0.0156,0.341,4.5e-16,519752,0.252,0.343,0.252,1.38e-21,2.02,0.0151,0.0,-1.79
4.0,2.0,5e-09,4e-08,1e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.618,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,3.46e-17,3.45e-19,4.43e-18,3.94e-09,4.38e-09,4.02e-13,1.28e-08,2.19e-09,1.91e-09,0.0275,0.0177,2.19e-10,7830000.0,80.0,0.0638,0.03,0.0912,0.0122,0.341,6.5e-16,519691,0.252,0.308,0.252,1.38e-21,2.02,0.0177,0.0,-1.95
4.0,2.0,5e-09,4e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.618,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,3.39e-17,1.73e-19,4.43e-18,3.85e-09,4.38e-09,4.02e-13,1.28e-08,2.19e-09,1.91e-09,0.0274,0.0177,2.19e-10,7830000.0,80.0,0.0638,0.03,0.0912,0.0123,0.341,8.5e-16,519703,0.252,0.302,0.252,1.38e-21,2.02,0.0177,0.0,-1.95
4.0,2.0,5e-09,2e-08,2e-08,2.0,1.0,50.0,50.0,500.0,500.0,0.1,0.618,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,1e-09,5e-09,3.39e-17,1.73e-19,4.43e-18,3.85e-09,4.41e-09,4.02e-13,1.15e-08,2.2e-09,1.91e-09,0.0258,0.015,2.2e-10,8720000.0,80.0,0.0631,0.0307,0.0888,0.0156,0.341,6.5e-16,519694,0.252,0.336,0.252,1.38e-21,2.02,0.015,0.0,-1.79
4.0,2.0,5e-09,1e-08,5e-09,2.0,1.0,50.0,50.0,500.0,500.0,1.2,0.9,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,1.85e-17,6.91e-19,4.43e-18,2.83e-08,8.26e-08,2.15e-15,3.12e-07,4.13e-08,2.38e-09,0.373,0.348,4.96e-08,3850000.0,80.0,0.666,0.525,1.04,0.177,0.214,2.5e-16,519709,0.312,0.0907,0.312,2.92e-21,2.66,0.348,0.0,-3.23
4.0,2.0,5e-09,1e-08,5e-09,2.0,2.0,50.0,50.0,500.0,500.0,1.2,0.9,5e-09,0.5,1.0,3.9,11.7,25.0,0.5,0.025,0.0125,5e-11,5e-11,2.11e-09,5e-09,3.69e-17,1.38e-18,4.43e-18,5.13e-08,1.65e-07,2.15e-15,6.24e-07,8.26e-08,2.38e-09,0.373,0.348,9.91e-08,1920000.0,80.0,0.666,0.525,1.04,0.177,0.214,2.5e-16,519700,0.312,0.0822,0.312,2.92e-21,2.66,0.348,0.0,-3.23
