Edynamic,Ieff,Ioff,Lscale,Pstatic,V_th_eff,area,delay,delta,n0,L,V_dd,V_th,W,k_gate,tox
1.74e-08,7.31e-05,1.54e-11,1.03e-08,1.08e-11,0.429,2.25e-16,0.000679,0.101,1.25,1.5e-08,0.7,0.5,1.5e-08,14.5,1e-09
7.06e-09,2.11e-05,1.09e-11,1.1e-08,7.64e-12,0.418,2.25e-16,0.000954,0.117,1.31,1.5e-08,0.7,0.5,1.5e-08,3.9,1e-09
7.06e-09,1.18e-06,1.53e-15,1.1e-08,1.07e-15,0.718,2.25e-16,0.0172,0.117,1.31,1.5e-08,0.7,0.8,1.5e-08,3.9,1e-09
1.64e-08,5.19e-05,4.1e-06,1.1e-08,4.37e-06,0.375,2.25e-16,0.000593,0.117,1.31,1.5e-08,1.07,0.5,1.5e-08,3.9,1e-09
4.03e-08,0.000182,2.22e-06,1.03e-08,2.37e-06,0.392,2.25e-16,0.000416,0.101,1.25,1.5e-08,1.07,0.5,1.5e-08,14.5,1e-09
4.03e-08,0.000101,4.07e-14,1.03e-08,4.34e-14,0.692,2.25e-16,0.000748,0.101,1.25,1.5e-08,1.07,0.8,1.5e-08,14.5,1e-09
1.64e-08,2.94e-05,2.13e-13,1.1e-08,2.27e-13,0.675,2.25e-16,0.00105,0.117,1.31,1.5e-08,1.07,0.8,1.5e-08,3.9,1e-09
1.64e-08,7.05e-06,7.68e-19,1.1e-08,8.19e-19,0.975,2.25e-16,0.00436,0.117,1.31,1.5e-08,1.07,1.1,1.5e-08,3.9,1e-09
7.28e-08,0.000291,0.0339,1.03e-08,0.0487,0.355,2.25e-16,0.00035,0.101,1.25,1.5e-08,1.43,0.5,1.5e-08,14.5,1e-09
2.96e-08,1.51e-05,5.63e-22,1.1e-08,8.07e-22,1.23,2.25e-16,0.00273,0.117,1.31,1.5e-08,1.43,1.4,1.5e-08,3.9,1e-09
7.28e-08,4.81e-05,5.060000000000001e-32,1.03e-08,7.26e-32,1.26,2.25e-16,0.00211,0.101,1.25,1.5e-08,1.43,1.4,1.5e-08,14.5,1e-09
1.15e-07,0.0004,7.4,1.03e-08,13.3,0.318,2.25e-16,0.00032,0.101,1.25,1.5e-08,1.8,0.5,1.5e-08,14.5,1e-09
6.64e-09,1.88e-05,9.71e-12,1.1e-08,6.8e-12,0.418,2e-16,0.00101,0.117,1.31,1.5e-08,0.7,0.5,1.33e-08,3.9,1e-09
6.64e-09,1.05e-06,1.36e-15,1.1e-08,9.54e-16,0.718,2e-16,0.0181,0.117,1.31,1.5e-08,0.7,0.8,1.33e-08,3.9,1e-09
1.58e-08,6.52e-05,1.38e-11,1.03e-08,9.63e-12,0.429,2e-16,0.000693,0.101,1.25,1.5e-08,0.7,0.5,1.33e-08,14.5,1e-09
1.54e-08,4.61e-05,3.64e-06,1.1e-08,3.89e-06,0.375,2e-16,0.000627,0.117,1.31,1.5e-08,1.07,0.5,1.33e-08,3.9,1e-09
3.67e-08,0.000162,1.97e-06,1.03e-08,2.1e-06,0.392,2e-16,0.000424,0.101,1.25,1.5e-08,1.07,0.5,1.33e-08,14.5,1e-09
3.67e-08,9.01e-05,3.62e-14,1.03e-08,3.86e-14,0.692,2e-16,0.000764,0.101,1.25,1.5e-08,1.07,0.8,1.33e-08,14.5,1e-09
1.54e-08,2.61e-05,1.89e-13,1.1e-08,2.02e-13,0.675,2e-16,0.00111,0.117,1.31,1.5e-08,1.07,0.8,1.33e-08,3.9,1e-09
1.54e-08,6.27e-06,6.83e-19,1.1e-08,7.29e-19,0.975,2e-16,0.00461,0.117,1.31,1.5e-08,1.07,1.1,1.33e-08,3.9,1e-09
