tech node,standard cell,area,R_eff,C_eff
7,AND2x2,8.748e-08,1.1336367959183674e-15,35066.30178477601
7,AND2x4,1.458e-07,2.2040747959183673e-15,17729.593420498113
7,AND2x6,1.7496e-07,2.637360204081633e-15,18810.39037565779
7,AND3x1,8.748e-08,1.0623545102040818e-15,35033.51876344645
7,AND3x2,1.0205999999999999e-07,1.283603510204082e-15,32689.053122534762
7,AND3x4,2.0411999999999998e-07,2.2843617074829933e-15,20379.03331194757
7,AND4x1,1.0205999999999999e-07,1.0869034081632655e-15,36886.787454049154
7,AND4x2,1.1663999999999999e-07,1.2972008775510205e-15,34902.969373160355
7,AND5x1,1.1663999999999999e-07,1.0338587020408165e-15,161794.64337806206
7,AND5x2,2.916e-07,2.0079963020408165e-15,50568.17579633968
7,FAx1,2.0411999999999998e-07,1.9082353231292515e-15,3519.3121755228804
7,HAxp5,1.3122e-07,1.0544820272108844e-15,8498.906774304043
7,MAJIxp5,1.0205999999999999e-07,1.0474370816326532e-15,9988.560718683966
7,MAJx2,1.3122e-07,1.2871524285714285e-15,11580.79191987264
7,MAJx3,1.458e-07,1.411829755102041e-15,10183.28241004667
7,NAND2x1,8.748e-08,1.2827146938775512e-15,23511.44423927442
7,NAND2x1p5,1.1663999999999999e-07,1.946253877551021e-15,8487.099340187176
7,NAND2x2,1.458e-07,2.5558659183673465e-15,11835.714769937393
7,NAND2xp33,5.8319999999999995e-08,4.406087857142858e-16,86712.6944326867
7,NAND2xp5,5.8319999999999995e-08,6.607580714285715e-16,40934.308893907895
7,NAND2xp67,8.748e-08,9.237932448979592e-16,41797.01487670545
7,NAND3x1,1.6037999999999998e-07,1.7130518367346942e-15,18009.184547195116
7,NAND3x2,2.916e-07,3.470650068027211e-15,9004.859624016015
7,NAND3xp33,7.29e-08,6.823301156462586e-16,44968.50712445161
7,NAND4xp25,8.748e-08,7.203764285714287e-16,48306.06419064636
7,NAND4xp75,2.0411999999999998e-07,2.1537665561224498e-15,13114.501624935685
7,NAND5xp2,1.0205999999999999e-07,7.47291218367347e-16,139523.8796299441
7,NOR2x1,8.748e-08,1.2939197448979592e-15,24047.279688473882
7,NOR2x1p5,1.1663999999999999e-07,1.9478180102040816e-15,18374.89427272008
7,NOR2x2,1.458e-07,2.5621788265306126e-15,12201.06093934521
7,NOR2xp33,5.8319999999999995e-08,4.410690969387755e-16,89452.36760823595
7,NOR2xp67,8.748e-08,9.36638367346939e-16,42585.80620926596
7,NOR3x1,1.6037999999999998e-07,1.7256823809523814e-15,18675.955101818934
7,NOR3x2,2.916e-07,3.471802074829932e-15,9402.02886851847
7,NOR3xp33,7.29e-08,6.800727302721088e-16,49414.10210623696
7,NOR4xp25,8.748e-08,7.167246905612246e-16,55400.94477407724
7,NOR4xp75,2.0411999999999998e-07,2.1408741836734697e-15,14767.927625597535
7,NOR5xp2,1.0205999999999999e-07,7.393092469387756e-16,61830.41831179143
7,OR2x2,8.748e-08,1.1488083979591838e-15,35443.72592708595
7,OR2x4,1.1663999999999999e-07,1.6058191836734695e-15,30851.88575631943
7,OR2x6,1.7496e-07,2.6610525510204082e-15,14529.10991373484
7,OR3x1,8.748e-08,1.0576825442176872e-15,36471.860305241586
7,OR3x2,1.0205999999999999e-07,1.2831530136054422e-15,34117.78086412598
7,OR3x4,1.3122e-07,1.7550957959183678e-15,30370.20360405778
7,OR4x1,1.0205999999999999e-07,1.0787952295918368e-15,39006.17452296381
7,OR4x2,1.1663999999999999e-07,1.2933823265306123e-15,37083.54367935211
7,OR5x1,1.1663999999999999e-07,1.0149783714285718e-15,47250.23837946384
7,OR5x2,1.3122e-07,1.2311981224489795e-15,44486.99929061965
7,XNOR2x1,1.7496e-07,1.7640985714285716e-15,7964.294188290418
7,XNOR2x2,1.6037999999999998e-07,1.4565316632653064e-15,16284.549864728622
7,XNOR2xp5,1.3122e-07,1.1124629591836735e-15,12832.236239555603
7,XOR2x1,1.7496e-07,1.9527823469387757e-15,7231.323051509916
7,XOR2x2,1.6037999999999998e-07,1.329147704081633e-15,17353.037536137836
7,XOR2xp5,1.3122e-07,1.2519996938775512e-15,11469.461670175475
